2
127 127
5 98 0.0401998
5 99 -0.234444
5 100 0.0565361
5 101 0.056078
5 102 0.0573836
5 103 -0.1097
5 104 -0.0812026
5 105 0.00276
5 106 0.0983034
5 107 0.0433129
5 108 0.0348915
5 109 0.0346257
5 110 0.0266895
5 111 0.0359535
5 112 -0.116955
5 113 -0.156556
5 114 0.219257
5 115 0.00990483
5 116 -0.0119943
5 117 0.17691
5 118 0.0276519
5 119 -0.0568932
5 120 0.0794283
5 121 0.113376
5 122 0.0380495
5 123 -0.123537
5 124 0.146002
5 125 -0.0504684
5 126 -0.0929903
6 0 0.123139
6 1 -0.0575946
6 2 0.04659
6 3 0.232603
6 4 -0.00593402
6 5 0.00139887
6 6 -0.0762695
6 7 -0.233244
6 8 0.179211
6 9 0.134845
6 10 -0.0571302
6 11 0.0497144
6 12 -0.0604187
6 13 0.222784
6 14 0.184
6 15 -0.0157523
6 16 -0.118454
6 17 -0.143646
6 18 0.130993
6 19 0.0077326
6 20 0.101156
6 21 -0.0928038
6 22 -0.0400661
6 23 0.0365859
6 24 -0.209589
6 25 -0.131783
6 26 0.184904
6 27 -0.175298
6 28 0.0922485
6 29 -0.10891
6 30 0.0404673
6 31 -0.0701066
6 32 -0.104859
6 33 0.0299326
6 34 -0.201699
6 35 0.161182
6 36 0.0206737
6 37 0.0486517
6 38 -0.220322
6 39 0.273945
6 40 -0.0268198
6 41 -0.0504568
6 42 0.0873946
6 43 -0.0423391
6 44 0.227608
6 45 -0.069373
6 46 0.234174
6 47 0.0561413
6 48 -0.0826374
6 49 -0.233495
6 50 -0.13272
6 51 0.0829627
6 52 -0.0991329
6 53 -0.118172
6 54 0.143114
6 55 0.0991408
6 56 0.0413177
6 57 0.161125
6 58 -0.00964592
6 59 0.181983
6 60 -0.061742
6 61 -0.08014
6 62 0.245748
6 63 0.207067
6 64 -0.114172
6 65 0.102299
6 66 0.116643
6 67 0.237959
6 68 -0.0753575
6 69 0.0103017
6 70 -0.0256285
6 71 0.256969
6 72 0.0309731
6 73 0.00313266
6 74 0.0734889
6 75 0.0040039
6 76 -0.361255
6 77 -0.113406
6 78 -0.000235233
6 79 0.0481279
6 80 0.15521
6 81 0.0135802
6 82 0.277815
6 83 0.0628118
6 84 0.0101646
6 85 0.155545
6 86 0.0608961
6 87 0.110765
6 88 -0.0931252
6 89 0.00481083
6 90 0.0116911
6 91 0.105783
6 92 -0.117415
6 93 0.0497154
6 94 0.115384
6 95 -0.14024
6 96 -0.0757174
6 97 -0.04875
6 98 -0.216257
6 99 -0.242298
6 100 -0.0415945
6 101 -0.00834569
6 102 0.174815
6 103 0.0553191
6 104 -0.180947
6 105 0.00209184
6 106 0.00405061
6 107 0.0400339
6 108 0.0106164
6 109 -0.0980877
6 110 0.0668571
6 111 -0.112466
6 112 0.0492899
6 113 0.0658113
6 114 0.187803
6 115 0.0313364
6 116 0.00099005
6 117 0.0320485
6 118 -0.150722
6 119 0.0517128
6 120 0.0377158
6 121 -0.0174193
6 122 0.107694
6 123 0.187754
6 124 0.187145
6 125 -0.0442647
6 126 -0.0654926
7 0 0.0677803
7 1 -0.1086
7 2 -0.17712
7 3 0.0309333
